Code,Description,Old_Rate,Revised_Rate
T0645,MONO SPOT TEST (PAUL BUNNEL),2035.0,2440.0
T0646,RUBELLA ANTIBODIES (IgG),2331.0,2790.0
T0647,RUBELLA ANTIBODIES (IgM),2035.0,2440.0
T0648,HISTOPATHOLOGY (SMALL),3181.0,3810.0
T0649,URINE BILINOGEN,219.0,260.0
T0650,URINE FOR BILE PIGMENT,283.0,330.0
T0651,CARBAMEZAPEN/TEGRETOL LEVEL,2293.0,2750.0
T0652,PROTEIN ELECTROPHORSIS (CSF/URINE),1249.0,1490.0
T0653,RENAL CALCULI (STONE ANALYSIS),2782.0,3330.0
T0654,URINE FOR AMINO ACID CHROMATOGRAPHY (24 hrs.),5088.0,6100.0
T0655,24 HOURS URINE FOR 17-KETOSTEROID,5216.0,6250.0
T0656,ANA PROFILE,3851.0,4620.0
T0657,ANTI DOUBLE STRANDED DNA (ANTI dsDNA),3851.0,4620.0
T0658,IgG (IMMUNOGLOBULIN G),1481.0,1770.0
T0659,GENE XPERT (CSF),6917.0,8300.0
T0660,GENE XPERT (CSF),6917.0,8300.0
T0661,ANTI HDV (ANTIBODY),4083.0,4890.0
T0662,ANTI THYROGLOBULIN (ANTIBODY),5036.0,6040.0
T0663,COMPLIMENT C3,1636.0,1960.0
T0664,COMPLIMENT C4,1636.0,1960.0
T0665,HSV1 & HSV2 BY PCR,6929.0,8310.0
T0666,IgM (IMMUNOGLOBULIN M),1481.0,1770.0
T0667,PLASMA PHERESIS,53504.0,64200.0
T0676,BLEEDING TIME (BT),322.0,380.0
T0677,BLOOD CROSS MATCHING,1971.0,2360.0
T0678,BLOOD GROUP (FOR HAJJ),258.0,300.0
T0679,"BLOOD GROUPING, CROSS MATCHING & SCREENING",3851.0,4620.0
T0680,CLOTTING TIME (C.T),515.0,610.0
T0681,FFP CHARGES (SINGLE BAG),3091.0,3700.0
T0682,FIBRINOGEN LEVEL,1777.0,2130.0
T0683,PLASMA/MEGA UNIT PLATELETS,33400.0,40080.0
T0684,PLATELETS CHARGES (SINGLE BAG),3091.0,3700.0
T0685,RE-CROSS MATCH,2035.0,2440.0
T0686,RED CELL ANTENATAL SCREENING,2589.0,3100.0
T0688,WHOLE BLOOD (WB) / PACKED CELL VOLUME,5200.0,6240.0
T0689,ANTI HEV IgG (ANTIBODY),2885.0,3460.0
T0690,CL-URINE ALBUMIN CREATININE RATIO,1300.0,1560.0
T0692,CA-15,2750.0,3300.0
T0693,TL-Anti Phospholipid IgM,4280.0,5130.0
T0694,TL-Anti Phospholipid IgG,4280.0,5130.0
T0695,TL-Anti Cardiolipin Antibody IgM/IGg,6200.0,7440.0
T0696,TL-Serum Beta-2 Anti Gyco Protein IGg/IgM,4250.0,5100.0
T0697,TL-LBC Pap Smear,2850.0,3420.0
T0698,TL-ADA Level,3150.0,3780.0
T0699,CL-SERUM ASPERGILLUS SPECIFIC IgE,1850.0,2220.0
T0700,CL-SERUM ASPERGILLUS SPECIFIC IgG,1200.0,1440.0
T0701,CL-ER/PR/HER 2 NEU/Ki67,10000.0,12000.0
T0702,SAAG (Serum-Ascites Albumin Gradient),1200.0,1440.0
T0703,CL-CEA Level,2300.0,2760.0
T0704,CH-Bile Acid,2300.0,2760.0
T0705,CL-Urine for Toxicology,,
T0706,CL-SERUM PHENYTOIN LEVEL,1500.0,1800.0
T0707,CL-Hep-b Viral Load,6500.0,7800.0
T0708,CL-ALPHA-1 (ANTITRYPSIN SERUM CERULOPLASMIN),,
T0709,CL-PLASMA ZINC LEVEL,,
T0710,CL-PIVKA LEVEL,,
T0711,CL-Serum Erythropoirtin (EPO),,
T0712,CL-TOXOLOGY (IgM),,
T0713,CL-TOXOLOGY (IGg),,
T0714,CL-IGRA,,
T0715,CL-FOOD ALERGY,,
T0716,CL-Envoirmental Alergy,,
01-01-008,Cure Attain for 12 Hrs.,3851.0,4620.0
